t,2--1,3--1,4--1,5--1,6--1,7--1
0.125,3.3251704433160185,3.955379790545007,11.841930481047102,,,
0.167,3.5111986734327187,3.9500901251854224,11.566029947848897,,,
0.208,3.7965217762194388,3.8508813453629704,11.392587513459585,,,
0.25,3.96657922525497,3.6876712614380267,11.417757530196095,10.544340665830374,,
0.292,4.032528342104476,3.5184214104164635,11.243738182218657,10.544340665830374,,
0.333,4.196198176269643,3.394504242893364,11.073273942046978,10.46440396614321,,
0.375,4.520606261319247,3.354728701396245,10.819780527139628,10.573007543229958,,
0.417,4.663629744625394,3.3817084716563848,10.654226896880061,10.642895817654608,,
0.458,4.790048658187814,3.4134288329629032,10.57440651800531,10.642895817654608,,
0.5,4.9230190758307915,3.360757015396641,10.57440651800531,10.642895817654608,,
0.542,5.062566550175135,3.3160238911043,10.487180003775212,10.642895817654608,,
0.583,5.347768244310957,3.256674596162483,10.229357027169355,10.642895817654608,,
0.625,5.651250424887474,3.227950889461064,10.052490730233531,10.642895817654608,,
0.667,,3.2956499418066887,9.88618809707241,10.642895817654608,,4.2584399753407665
0.708,,3.3881003149581304,9.88618809707241,10.562357214191973,,4.214508081128661
0.75,,3.437352469234655,9.969035931445434,10.562357214191973,,4.0141801573926505
0.792,,3.508325132758472,9.961056496922367,10.642895817654608,,3.8180407076291374
0.833,6.661472099220423,3.5129149235563797,10.128601601510832,10.62488661002594,,3.7744357925432572
0.875,6.7949107264744475,3.468394926322879,10.45156262123899,10.501127464747908,,3.806118710854554
0.917,6.912474874670771,3.4596741981594503,10.70731191298394,10.501127464747908,,3.939391341487961
0.958,7.017719098350913,3.496278183525706,10.886435266935068,10.4833178087992,,3.924896859579429
1.0,7.309345926609228,3.5518576121877596,11.068291808025577,10.46563327066975,,3.8979309763275394
1.042,7.676500557958165,3.657046203031866,11.160263949820465,10.46563327066975,,3.952700265873975
1.083,8.005862834679773,3.772591121457918,11.252942682461788,10.38569536805776,,4.056317580291038
1.125,8.209006263714885,3.7972003823063925,11.260808246726812,10.38569536805776,,4.133693391443831
1.167,8.346806271560425,3.821825096184162,11.448303962138336,10.368128237094579,,4.151394698740599
1.208,8.615396271533578,3.8393707244704998,11.543143752086904,10.368128237094579,,4.200947093355152
1.25,8.978634090899002,3.8393707244704998,11.535298178960417,10.288782627325544,,4.223828150785914
1.292,9.202849314918847,3.8393707244704998,11.727216844381967,10.38569536805776,,4.301063936326643
1.333,9.431937772080554,3.8393707244704998,11.92215972716064,10.38569536805776,,4.39104415746012
1.375,9.73274546280387,3.8393707244704998,,10.38569536805776,,4.507814312526905
